Date,Time,Dry_Bulb _C_22
10/26/2019,8:00:00,11.58033203
10/26/2019,12:00:00,11.49453125
10/26/2019,16:00:00,11.49453125
10/26/2019,20:00:00,11.49453125
10/27/2019,0:00:00,11.53743164
10/27/2019,4:00:00,11.45163086
10/27/2019,8:00:00,11.40873047
10/27/2019,12:00:00,11.45163086
10/27/2019,16:00:00,11.40873047
10/27/2019,20:00:00,11.40873047
10/28/2019,0:00:00,11.45163086
10/28/2019,4:00:00,11.2800293
10/28/2019,8:00:00,11.32292969
10/28/2019,12:00:00,11.23712891
10/28/2019,16:00:00,11.2800293
10/28/2019,20:00:00,11.2800293
10/29/2019,0:00:00,11.2800293
10/29/2019,4:00:00,11.2800293
10/29/2019,8:00:00,11.15132813
10/29/2019,12:00:00,11.10842773
10/29/2019,16:00:00,11.15132813
10/29/2019,20:00:00,11.06552734
10/30/2019,0:00:00,11.02262695
10/30/2019,4:00:00,11.02262695
10/30/2019,8:00:00,10.93682617
10/30/2019,12:00:00,10.89392578
10/30/2019,16:00:00,10.85102539
10/30/2019,20:00:00,10.85102539
10/31/2019,0:00:00,10.808125
10/31/2019,4:00:00,10.76522461
10/31/2019,8:00:00,10.67942383
10/31/2019,12:00:00,10.63652344
10/31/2019,16:00:00,10.59362305
10/31/2019,20:00:00,10.55072266
11/1/2019,0:00:00,10.55072266
11/1/2019,4:00:00,10.42202148
11/1/2019,8:00:00,10.42202148
11/1/2019,12:00:00,10.3362207
11/1/2019,16:00:00,10.29332031
11/1/2019,20:00:00,10.25041992
11/2/2019,0:00:00,10.25041992
11/2/2019,4:00:00,10.16461914
11/2/2019,8:00:00,10.12171875
11/2/2019,12:00:00,10.12171875
11/2/2019,16:00:00,10.16461914
11/2/2019,20:00:00,10.07881836
11/3/2019,0:00:00,10.07881836
11/3/2019,4:00:00,9.993017578
11/3/2019,8:00:00,9.950117188
11/3/2019,12:00:00,9.907216797
11/3/2019,16:00:00,9.821416016
11/3/2019,20:00:00,9.821416016
11/4/2019,0:00:00,9.821416016
11/4/2019,4:00:00,9.735615234
11/4/2019,8:00:00,9.735615234
11/4/2019,12:00:00,9.692714844
11/4/2019,16:00:00,9.778515625
11/4/2019,20:00:00,9.778515625
11/5/2019,0:00:00,9.778515625
11/5/2019,4:00:00,9.778515625
11/5/2019,8:00:00,9.692714844
11/5/2019,12:00:00,9.692714844
11/5/2019,16:00:00,9.564013672
11/5/2019,20:00:00,9.478212891
11/6/2019,0:00:00,9.478212891
11/6/2019,4:00:00,9.392412109
11/6/2019,8:00:00,9.306611328
11/6/2019,12:00:00,9.220810547
11/6/2019,16:00:00,9.177910156
11/6/2019,20:00:00,9.135009766
11/7/2019,0:00:00,9.092109375
11/7/2019,4:00:00,9.006308594
11/7/2019,8:00:00,8.920507813
11/7/2019,12:00:00,8.877607422
11/7/2019,16:00:00,8.834707031
11/7/2019,20:00:00,8.74890625
11/8/2019,0:00:00,8.706005859
11/8/2019,4:00:00,8.663105469
11/8/2019,8:00:00,8.534404297
11/8/2019,12:00:00,8.448603516
11/8/2019,16:00:00,8.448603516
11/8/2019,20:00:00,8.405703125
11/9/2019,0:00:00,8.319902344
11/9/2019,4:00:00,8.277001953
11/9/2019,8:00:00,8.234101563
11/9/2019,12:00:00,8.191201172
